path	stage	stage_kind	job_id	stage_iteration	global_iteration	peak_image	barrier_forward_ev	barrier_reverse_ev
TO	pre	pre_neb	62307728	25	25	02	0.41955478	0.35665078
TO	pre	pre_neb	62307728	26	26	02	0.41929478	0.35639078
TO	pre	pre_neb	62307728	27	27	02	0.41904478	0.35614078
TO	pre	pre_neb	62307728	28	28	02	0.41882478	0.35592078
TO	pre	pre_neb	62307728	29	29	02	0.41859478	0.35569078
TO	pre	pre_neb	62307728	30	30	02	0.41837478	0.35547078
TO	pre	pre_neb	62307728	31	31	02	0.41815478	0.35525078
TO	pre	pre_neb	62307728	32	32	02	0.41794478	0.35504078
TO	pre	pre_neb	62307728	33	33	02	0.41774478	0.35484078
TO	pre	pre_neb	62307728	34	34	02	0.41755478	0.35465078
TO	pre	pre_neb	62307728	35	35	02	0.41735478	0.35445078
TO	pre	pre_neb	62307728	36	36	02	0.41717478	0.35427078
TO	pre	pre_neb	62307728	37	37	02	0.41699478	0.35409078
TO	ci_01	ci_neb	62470978	1	38	02	0.41699478	0.35409078
TO	ci_03	ci_neb	62475824	1	39	02	0.41699478	0.35409078
TO	ci_03	ci_neb	62475824	2	40	02	0.41731478	0.35441078
TO	ci_03	ci_neb	62475824	3	41	02	0.41761478	0.35471078
TO	ci_03	ci_neb	62475824	4	42	02	0.41791478	0.35501078
TO	ci_03	ci_neb	62475824	5	43	02	0.41819478	0.35529078
TO	ci_03	ci_neb	62475824	6	44	02	0.41846478	0.35556078
TO	ci_03	ci_neb	62475824	7	45	02	0.41872478	0.35582078
TO	ci_03	ci_neb	62475824	8	46	02	0.41898478	0.35608078
TO	ci_03	ci_neb	62475824	9	47	02	0.41922478	0.35632078
TO	ci_03	ci_neb	62475824	10	48	02	0.41946478	0.35656078
TO	ci_03	ci_neb	62475824	11	49	02	0.41969478	0.35679078
TO	ci_03	ci_neb	62475824	12	50	02	0.41991478	0.35701078
TO	ci_03	ci_neb	62475824	13	51	02	0.42012478	0.35722078
TO	ci_03	ci_neb	62475824	14	52	02	0.42032478	0.35742078
TO	ci_03	ci_neb	62475824	15	53	02	0.42052478	0.35762078
TO	ci_03	ci_neb	62475824	16	54	02	0.42070478	0.35780078
TO	ci_03	ci_neb	62475824	17	55	02	0.42088478	0.35798078
TO	ci_03	ci_neb	62475824	18	56	02	0.42106478	0.35816078
TO	ci_03	ci_neb	62475824	19	57	02	0.42123478	0.35833078
TO	ci_03	ci_neb	62475824	20	58	02	0.42139478	0.35849078
TO	ci_03	ci_neb	62475824	21	59	02	0.42154478	0.35864078
TO	ci_03	ci_neb	62475824	22	60	02	0.42169478	0.35879078
TO	ci_03	ci_neb	62475824	23	61	02	0.42184478	0.35894078
TO	ci_03	ci_neb	62475824	24	62	02	0.42198478	0.35908078
TO	ci_03	ci_neb	62475824	25	63	02	0.42212478	0.35922078
TO	ci_03	ci_neb	62475824	26	64	02	0.42226478	0.35936078
TO	ci_03	ci_neb	62475824	27	65	02	0.42238478	0.35948078
TO	ci_03	ci_neb	62475824	28	66	02	0.42251478	0.35961078
TO	ci_03	ci_neb	62475824	29	67	02	0.42263478	0.35973078
TO	ci_03	ci_neb	62475824	30	68	02	0.42274478	0.35984078
TO	ci_03	ci_neb	62475824	31	69	02	0.42285478	0.35995078
TO	ci_03	ci_neb	62475824	32	70	02	0.42295478	0.36005078
TO	ci_03	ci_neb	62475824	33	71	02	0.42305478	0.36015078
TO	ci_03	ci_neb	62475824	34	72	02	0.42314478	0.36024078
TO	ci_03	ci_neb	62475824	35	73	02	0.42323478	0.36033078
TO	ci_03	ci_neb	62475824	36	74	02	0.42331478	0.36041078
