path	stage	stage_kind	stage_iteration	global_iteration	max_projected_force_ev_a	rms_projected_force_ev_a	force_limit_ev_a
TO	ci_03	ci_neb	47	85	0.09902100	0.00999240	0.03000000
TO	ci_03	ci_neb	48	86	0.09758200	0.00986621	0.03000000
TO	ci_03	ci_neb	49	87	0.09565600	0.00977369	0.03000000
TO	ci_03	ci_neb	50	88	0.09378200	0.00961173	0.03000000
TO	ci_03	ci_neb	51	89	0.09197500	0.00946194	0.03000000
TO	ci_03	ci_neb	52	90	0.09078800	0.00931182	0.03000000
TO	ci_03	ci_neb	53	91	0.08904100	0.00921857	0.03000000
TO	ci_03	ci_neb	54	92	0.08718900	0.00903567	0.03000000
TO	ci_03	ci_neb	55	93	0.08569200	0.00896538	0.03000000
TO	ci_03	ci_neb	56	94	0.08385900	0.00887199	0.03000000
TO	ci_03	ci_neb	57	95	0.08258400	0.00880259	0.03000000
TO	ci_03	ci_neb	58	96	0.08145900	0.00868401	0.03000000
TO	ci_03	ci_neb	59	97	0.08033700	0.00854473	0.03000000
TO	ci_03	ci_neb	60	98	0.07924500	0.00844545	0.03000000
TO	ci_03	ci_neb	61	99	0.07829700	0.00838471	0.03000000
TO	ci_03	ci_neb	62	100	0.07671800	0.00823552	0.03000000
TO	ci_03	ci_neb	63	101	0.07566500	0.00814870	0.03000000
TO	ci_03	ci_neb	64	102	0.07386500	0.00808752	0.03000000
TO	ci_03	ci_neb	65	103	0.07263300	0.00797208	0.03000000
TO	ci_03	ci_neb	66	104	0.07151900	0.00788526	0.03000000
TO	ci_03	ci_neb	67	105	0.07029200	0.00781273	0.03000000
TO	ci_03	ci_neb	68	106	0.06933400	0.00780028	0.03000000
TO	ci_03	ci_neb	69	107	0.06836300	0.00770120	0.03000000
TO	ci_03	ci_neb	70	108	0.06728600	0.00760822	0.03000000
TO	ci_03	ci_neb	71	109	0.06637900	0.00754508	0.03000000
TO	ci_03	ci_neb	72	110	0.06542600	0.00746453	0.03000000
TO	ci_03	ci_neb	73	111	0.06424400	0.00742343	0.03000000
TO	ci_03	ci_neb	74	112	0.06311000	0.00734849	0.03000000
TO	ci_03	ci_neb	75	113	0.06250200	0.00727338	0.03000000
TO	ci_03	ci_neb	76	114	0.06163700	0.00719686	0.03000000
TO	ci_03	ci_neb	77	115	0.06118500	0.00712708	0.03000000
TO	ci_03	ci_neb	78	116	0.06040500	0.00702029	0.03000000
TO	ci_03	ci_neb	79	117	0.05977100	0.00690018	0.03000000
TO	ci_03	ci_neb	80	118	0.05894200	0.00683211	0.03000000
TO	ci_03	ci_neb	81	119	0.05823500	0.00679391	0.03000000
TO	ci_03	ci_neb	82	120	0.05730300	0.00674799	0.03000000
TO	ci_03	ci_neb	83	121	0.05670000	0.00669089	0.03000000
TO	ci_03	ci_neb	84	122	0.05609300	0.00663340	0.03000000
TO	ci_03	ci_neb	85	123	0.05549900	0.00655141	0.03000000
TO	ci_03	ci_neb	86	124	0.05446700	0.00646404	0.03000000
TO	ci_03	ci_neb	87	125	0.05390100	0.00638840	0.03000000
TO	ci_03	ci_neb	88	126	0.05327700	0.00630040	0.03000000
TO	ci_03	ci_neb	89	127	0.05254600	0.00621021	0.03000000
TO	ci_03	ci_neb	90	128	0.05194600	0.00611662	0.03000000
TO	ci_03	ci_neb	91	129	0.05111700	0.00603492	0.03000000
TO	ci_03	ci_neb	92	130	0.05053200	0.00594747	0.03000000
TO	ci_03	ci_neb	93	131	0.04983600	0.00592622	0.03000000
